q,A,B,C,D,ans,sub
'मालगुडी डेज़' (Malgudi Days) पुस्तक किसने लिखी है?,रस्किन बॉन्ड,आर.के. नारायण,मुंशी प्रेमचंद,चेतन भगत,B,Books
'ट्रेन टू पाकिस्तान' (Train to Pakistan) के लेखक कौन हैं?,खुशवंत सिंह,अमृता प्रीतम,भीष्म साहनी,सआदत हसन मंटो,A,Books
'गोल्डन थ्रेशोल्ड' (Golden Threshold) और 'ब्रोकन विंग्स' किसने लिखी है?,सरोजिनी नायडू,एनी बेसेंट,महादेवी वर्मा,सुभद्रा कुमारी चौहान,A,Books
'अनहैप्पी इंडिया' (Unhappy India) पुस्तक के लेखक कौन हैं?,लाला लाजपत राय,बाल गंगाधर तिलक,बिपिन चंद्र पाल,महात्मा गांधी,A,Books
'लाइफ डिवाइन' (Life Divine) पुस्तक किसने लिखी है?,रवींद्रनाथ टैगोर,अरविंद घोष,स्वामी विवेकानंद,महात्मा गांधी,B,Books
'वॉर एंड पीस' (War and Peace) किसकी प्रसिद्ध रचना है?,शेक्सपियर,लियो टॉल्स्टॉय,चार्ल्स डिकेंस,कार्ल मार्क्स,B,Books
'दास कैपिटल' (Das Kapital) पुस्तक किसने लिखी है?,एडम स्मिथ,कार्ल मार्क्स,लियो टॉल्स्टॉय,मैकियावेली,B,Books
'वेल्थ ऑफ नेशन्स' (Wealth of Nations) के लेखक कौन हैं?,कार्ल मार्क्स,एडम स्मिथ,अमर्त्य सेन,जॉन मेनार्ड कीन्स,B,Books
'हैरी पॉटर' (Harry Potter) सीरीज़ की लेखिका कौन हैं?,अगाथा क्रिस्टी,जे.के. राउलिंग,एनिड ब्लाइटन,सुज़ैन कोलिन्स,B,Books
'रोमियो और जूलियट' (Romeo and Juliet) नाटक किसने लिखा है?,विलियम वर्ड्सवर्थ,विलियम शेक्सपियर,जॉन मिल्टन,जॉर्ज बर्नार्ड शॉ,B,Books
'द प्रिंस' (The Prince) पुस्तक के लेखक कौन हैं?,मैकियावेली,प्लेटो,अरस्तु,सुकरात,A,Books
'प्वाइंटिंग द फिंगर' / 'प्लेइंग इट माई वे' (Playing It My Way) किसकी आत्मकथा है?,सौरव गांगुली,सचिन तेंदुलकर,युवराज सिंह,सुनील गावस्कर,B,Books
